Année;Pays;Consommation_charbon;Production_charbon;Variation_pct_consommation_charbon;Variation_pct_production_charbon;Demande_électricité;Production_électricité;Électricité_biocarburants;Électricité_charbon;Variation_pct_consommation_énergie;Variation_pct_consommation_fossile;Consommation_combustibles_fossiles;Électricité_fossile;Consommation_pétrole;Variation_pct_consommation_pétrole;Électricité_pétrole;Variation_pct_production_pétrole;Production_pétrole;Variation_pct_consommation_gaz;Variation_pct_production_gaz;Consommation_gaz;Production_gaz;Électricité_gaz;Variation_pct_production_gaz;Consommation_nucléaire;Électricité_nucléaire;Consommation_hydroélectrique;Consommation_renouvelables;Émissions_gaz_effet_de_serre;Population
2011;India;3478.864;2915.217;3.892;-0.745;1039.12;1034.0;17.14;701.25;5.463;4.007;6001.939;828.16;1920.216;4.783;9.35;3.978;498.743;2.246;-9.479;602.859;429.334;117.56;-9.479;85.302;32.22;363.327;498.893;646.97;1257621248.0
2012;India;3787.818;2966.21;8.881;1.749;1096.48;1091.84;19.94;787.13;5.412;6.319;6381.226;893.45;2036.417;6.051;10.07;-0.78;494.851;-7.608;-13.196;556.991;372.678;96.25;-13.196;87.196;33.14;317.451;474.145;707.83;1274487168.0
2013;India;4009.729;2974.117;5.859;0.267;1150.09;1146.14;22.48;847.97;3.318;2.663;6551.184;924.93;2051.262;0.729;10.65;-0.807;490.858;-11.993;-16.649;490.193;310.631;66.31;-16.649;87.111;33.31;359.709;534.651;744.52;1291132032.0
2014;India;4401.073;3133.724;9.76;5.367;1262.59;1262.02;24.68;949.93;6.747;6.758;6993.901;1025.29;2107.813;2.757;11.35;-1.337;484.296;-1.056;-5.498;485.016;293.552;64.01;-5.498;90.17;34.69;376.555;572.842;828.3;1307246464.0
2015;India;4490.47;3268.103;2.031;4.288;1322.05;1321.96;30.62;1006.55;3.468;3.612;7246.493;1080.44;2277.954;8.072;9.12;-1.126;478.841;-1.432;-4.13;478.068;281.428;64.77;-4.13;98.993;38.31;358.926;576.942;874.87;1322866560.0
2016;India;4587.692;3301.831;2.165;1.032;1400.54;1401.63;24.82;1073.6;4.494;4.79;7593.63;1155.52;2498.029;9.661;9.3;-1.427;472.009;6.242;-5.545;507.91;265.823;72.62;-5.545;97.354;37.9;343.682;587.477;932.71;1338636288.0
2017;India;4737.157;3329.753;3.258;0.846;1469.03;1471.16;24.91;1115.24;3.814;3.311;7845.052;1198.85;2571.897;2.957;8.62;-0.365;470.285;5.53;4.18;535.999;276.933;74.99;4.18;95.548;37.41;361.465;653.606;968.33;1354195712.0
2018;India;4981.602;3555.345;5.16;6.775;1574.88;1578.98;27.22;1198.86;5.67;5.157;8249.621;1276.32;2688.057;4.517;6.2;-2.201;459.936;8.202;-0.729;579.963;274.915;71.26;-0.729;99.143;39.05;369.748;732.744;1034.81;1369003264.0
2019;India;4989.023;3498.878;0.149;-1.588;1618.77;1621.91;31.51;1198.76;2.525;1.304;8357.201;1273.59;2775.68;3.26;2.88;-5.209;435.976;2.161;-2.131;592.498;269.055;71.95;-2.131;114.238;45.16;427.202;839.401;1034.86;1383112064.0
2005;Indonesia;283.749;1047.984;14.702;15.49;132.88;132.88;5.33;51.83;2.912;2.804;1365.573;110.22;717.888;-0.144;17.3;-3.303;624.71;0.529;0.76;363.936;762.698;41.09;0.76;;;30.71;49.915;76.48;228805152.0
2006;Indonesia;330.789;1308.174;16.578;24.828;137.98;137.98;4.9;58.67;1.715;2.026;1393.239;116.8;691.336;-3.699;17.75;-6.496;584.127;1.972;-1.144;371.114;753.971;40.38;-1.144;;;27.381;46.523;81.94;231797424.0
2007;Indonesia;417.329;1472.884;26.162;12.591;148.39;148.39;5.98;63.9;7.322;7.159;1492.976;124.1;729.227;5.481;18.14;-4.761;556.317;-6.654;-3.738;346.42;725.791;42.06;-3.738;;;31.913;52.211;87.63;234858288.0
2008;Indonesia;366.071;1644.72;-12.282;11.667;155.89;155.89;6.5;61.49;1.155;0.937;1506.96;129.55;743.942;2.018;20.83;3.329;574.838;14.585;3.101;396.947;748.299;47.23;3.101;;;32.395;56.069;90.24;237936544.0
2009;Indonesia;378.321;1721.62;3.346;4.676;162.84;162.84;6.11;65.91;2.725;2.634;1546.658;136.05;747.329;0.455;19.86;-2.063;562.978;6.062;4.295;421.008;780.441;50.28;4.295;;;31.792;58.958;94.62;240981296.0
2010;Indonesia;429.619;1759.687;13.56;2.211;177.51;177.51;7.81;68.48;8.235;7.414;1661.329;142.88;791.234;5.875;19.01;0.444;565.48;4.624;11.476;440.476;870.005;55.39;11.476;;;48.451;76.51;99.18;244016176.0
2011;Indonesia;496.265;2203.633;15.513;25.229;191.87;191.87;8.65;81.09;5.644;6.665;1772.05;161.41;848.442;7.23;22.86;-4.763;538.547;-2.982;-4.967;427.343;826.79;57.46;-4.967;;;34.259;63.866;113.3;247099696.0
2012;Indonesia;505.706;2376.853;1.902;7.861;208.94;208.94;8.87;102.17;3.235;3.131;1827.526;177.83;892.108;5.147;21.58;-3.723;518.498;0.554;-5.297;429.712;782.996;54.08;-5.297;;;35.094;67.775;128.1;250222688.0
2013;Indonesia;440.756;2901.099;-12.843;22.056;225.16;225.16;9.14;111.25;-3.447;-4.329;1748.419;189.66;862.608;-3.307;20.36;-4.975;492.702;3.57;-0.863;445.055;776.237;58.05;-0.863;;;46.122;81.545;136.79;253275920.0
2014;Indonesia;469.07;2820.678;6.424;-2.772;237.53;237.52;9.18;119.53;1.312;1.152;1768.565;203.11;859.077;-0.409;23.04;-3.311;476.389;-1.042;-1.577;440.418;763.996;60.54;-1.577;;;41.073;85.401;146.65;256229760.0
2015;Indonesia;532.274;2829.951;13.474;0.329;243.28;243.27;9.75;124.66;1.555;2.287;1809.009;209.71;819.179;-4.644;30.91;-0.934;471.942;3.891;-0.311;457.556;761.622;54.14;-0.311;;;37.003;73.786;153.34;259091968.0
2016;Indonesia;544.316;2742.306;2.262;-3.097;258.24;257.55;10.21;135.38;0.302;-1.557;1780.842;217.97;790.219;-3.535;20.8;5.099;496.008;-2.458;-1.421;446.308;750.8;61.79;-1.421;;;49.999;107.639;159.06;261850176.0
2017;Indonesia;566.109;2691.093;4.004;-1.868;266.93;265.81;11.45;147.96;3.483;3.647;1845.782;222.64;847.52;7.251;18.85;-3.99;476.217;-3.171;-3.163;432.153;727.05;55.83;-3.163;;;49.586;108.473;165.47;264498848.0
2018;Indonesia;655.729;3178.207;15.831;18.101;285.29;283.79;12.13;160.01;9.695;7.023;1975.415;235.41;874.4;3.172;17.95;-3.552;459.3;3.039;0.133;445.286;728.017;57.45;0.133;;;57.244;168.301;175.78;267066848.0
2019;Indonesia;801.231;3566.628;22.189;12.221;297.11;295.43;12.17;174.49;6.571;5.976;2093.457;247.39;852.238;-2.535;10.58;-3.378;443.785;-1.19;-7.168;439.988;675.834;62.32;-7.168;;;55.78;191.118;184.9;269582880.0
2005;Iran;18.103;12.449;13.346;27.124;176.39;177.07;0.0;0.57;5.914;5.635;1898.726;162.55;910.154;7.215;37.4;-0.46;2417.541;4.065;6.121;970.469;966.125;124.58;6.121;;;41.371;41.574;88.04;70182592.0
2006;Iran;17.474;13.209;-3.475;6.105;193.2;193.43;0.0;0.56;9.275;8.876;2067.248;174.79;991.934;8.985;49.11;1.323;2449.531;9.003;8.969;1057.84;1052.773;125.12;8.969;;;52.666;53.022;96.59;71275768.0
2007;Iran;18.215;13.321;4.244;0.848;202.44;203.12;0.0;0.57;6.307;6.558;2202.812;185.02;999.074;0.72;45.7;1.251;2480.164;12.07;12.099;1185.522;1180.144;138.75;12.099;;;50.781;51.18;100.88;72319424.0
2008;Iran;14.342;12.721;-21.263;-4.505;208.3;210.49;0.0;0.39;3.078;4.499;2301.915;202.85;1029.706;3.066;67.4;1.017;2505.398;6.102;4.705;1257.867;1235.674;135.06;4.705;;;20.901;21.452;113.86;73318400.0
2009;Iran;9.255;9.216;-35.471;-27.547;217.73;221.81;0.0;0.38;2.407;2.518;2359.876;214.86;1002.677;-2.625;65.07;-3.809;2409.96;7.161;9.847;1347.944;1357.356;149.41;9.847;;;18.775;19.413;119.23;74322688.0
2010;Iran;13.364;8.712;44.393;-5.469;231.99;235.68;0.01;0.35;1.778;1.388;2392.636;225.25;935.378;-6.712;51.05;2.323;2465.938;7.118;6.022;1443.894;1439.102;173.85;6.022;;;28.455;28.959;121.47;75373864.0
2011;Iran;13.733;9.312;2.765;6.887;230.58;235.59;0.02;0.43;4.457;4.45;2499.1;224.57;953.441;1.931;81.81;0.234;2471.704;6.097;4.917;1531.926;1509.863;142.33;4.917;0.283;0.11;29.473;30.13;127.62;76342968.0
2012;Iran;10.651;8.352;-22.442;-10.309;241.62;248.75;0.02;0.4;1.127;0.799;2519.074;234.5;982.968;3.097;77.74;-15.08;2098.968;-0.422;3.94;1525.455;1569.358;156.36;3.94;3.82;1.45;34.28;35.13;131.69;77324448.0
2013;Iran;8.863;8.408;-16.791;0.67;250.98;258.86;0.02;0.46;3.514;3.064;2596.271;239.74;1049.064;6.724;101.59;-5.988;1973.286;0.845;0.377;1538.345;1575.281;137.69;0.377;11.129;4.26;39.857;40.517;139.36;78458928.0
2014;Iran;10.552;8.713;19.067;3.628;269.74;275.63;0.05;0.53;4.107;4.231;2706.107;256.81;961.545;-8.343;64.28;2.578;2024.161;12.719;11.377;1734.009;1754.506;192.0;11.377;10.579;4.07;39.293;39.985;139.92;79961672.0
2015;Iran;12.695;9.896;20.304;13.572;277.57;280.24;0.02;0.46;-0.405;-0.212;2700.365;263.33;847.475;-11.863;56.26;3.56;2096.225;6.124;4.615;1840.195;1835.479;206.61;4.615;9.033;3.5;35.687;36.123;141.36;81790848.0
2016;Iran;10.56;10.351;-16.821;4.595;283.66;286.13;0.02;0.49;4.854;4.444;2820.377;264.06;846.627;-0.1;38.26;19.918;2513.76;6.684;8.605;1963.19;1993.419;225.31;8.605;16.632;6.47;41.285;41.786;138.03;83306232.0
2017;Iran;11.982;;13.466;0.0;300.85;305.17;0.02;0.63;3.727;3.579;2921.311;280.55;859.289;1.496;27.42;7.31;2697.528;4.424;7.278;2050.04;2138.501;252.5;7.278;17.768;6.96;45.859;47.012;143.93;84505080.0
2018;Iran;15.849;;32.276;0.0;308.64;312.35;0.02;0.63;3.394;4.107;3041.288;294.63;899.005;4.622;27.71;-5.308;2554.342;3.726;5.167;2126.434;2248.99;266.29;5.167;17.481;6.89;26.029;28.678;150.74;85617560.0
2019;Iran;18.933;;19.459;0.0;315.26;318.89;0.01;0.64;5.522;3.547;3149.172;277.37;946.344;5.266;32.22;-27.785;1844.619;2.702;3.558;2183.896;2329.001;244.51;3.558;16.215;6.41;89.267;92.55;143.8;86564208.0
2005;Italy;191.534;0.739;-0.766;-3.061;344.87;295.72;4.67;43.61;0.124;0.973;2058.696;247.29;1039.467;-3.073;54.35;12.228;71.067;7.018;-6.864;827.695;115.823;149.33;-6.864;0.0;0.0;103.275;141.554;149.15;58199876.0
2006;Italy;193.911;0.163;1.241;-77.895;351.66;306.67;5.11;44.21;-0.463;-0.778;2042.676;256.03;1038.177;-0.124;53.68;-5.389;67.237;-2.067;-9.047;810.588;105.345;158.14;-9.047;0.0;0.0;105.263;147.391;153.63;58429904.0
2007;Italy;189.848;1.229;-2.095;652.382;353.49;307.21;5.26;44.11;-1.907;-1.594;2010.122;259.49;1005.712;-3.127;42.67;1.352;68.146;0.49;-11.598;814.561;93.127;172.71;-11.598;0.0;0.0;92.788;138.178;152.92;58778480.0
2008;Italy;183.701;0.91;-3.238;-25.949;352.53;312.5;5.97;43.07;-1.694;-3.547;1938.828;254.34;946.612;-5.876;38.5;-10.526;60.973;-0.742;-5.342;808.515;88.152;172.77;-5.342;0.0;0.0;116.963;173.077;149.57;59224228.0
2009;Italy;143.823;0.56;-21.708;-38.462;332.54;287.58;7.56;39.74;-6.639;-9.069;1762.991;218.32;875.992;-7.46;31.22;-12.773;53.185;-8.081;-13.418;743.176;76.324;147.36;-13.418;0.0;0.0;137.228;208.715;129.87;59562844.0
2010;Italy;159.028;0.786;10.571;40.278;342.07;297.91;9.44;39.73;3.298;2.321;1803.918;220.93;853.391;-2.58;28.39;11.647;59.38;6.502;4.902;791.499;80.066;152.81;4.902;0.0;0.0;141.879;232.815;131.12;59822452.0
2011;Italy;178.27;0.716;12.1;-8.911;345.47;299.74;10.83;44.73;-1.906;-3.027;1749.311;216.78;828.881;-2.872;27.45;3.98;61.743;-6.234;0.515;742.161;80.478;144.6;0.515;0.0;0.0;126.41;248.601;131.18;60025952.0
2012;Italy;182.733;0.622;2.504;-13.043;339.58;296.48;12.49;49.14;-2.705;-4.619;1668.513;204.26;772.214;-6.837;25.98;1.648;62.76;-3.853;1.839;713.566;81.958;129.14;1.839;0.0;0.0;114.819;275.365;126.9;60190152.0
2013;Italy;157.403;0.568;-13.862;-8.75;329.21;287.07;17.08;45.1;-4.387;-8.224;1531.288;175.07;706.48;-8.512;21.06;1.948;63.983;-6.469;-10.106;667.404;73.675;108.91;-10.106;0.0;0.0;143.831;327.312;111.71;60312600.0
2014;Italy;153.447;0.669;-2.513;17.808;321.16;277.44;18.72;43.45;-5.18;-7.631;1414.442;156.76;671.279;-4.983;19.65;4.787;67.046;-11.64;-7.573;589.716;68.096;93.66;-7.573;0.0;0.0;158.604;347.878;102.45;60322792.0
2015;Italy;143.395;0.63;-6.551;-5.814;327.33;280.95;19.39;43.2;2.976;5.836;1496.994;172.06;710.444;5.834;17.98;-5.112;63.618;9.062;-5.285;643.154;64.497;110.88;-5.285;0.0;0.0;122.631;317.772;109.38;60232908.0
2016;Italy;127.732;0.0;-10.923;-100.0;324.23;287.2;19.5;35.61;0.395;0.734;1507.98;179.19;704.79;-0.796;17.41;-31.273;43.723;5.023;-14.573;675.458;55.098;126.17;-14.573;0.0;0.0;113.592;313.951;110.21;60118628.0
2017;Italy;111.904;;-12.392;;331.09;293.33;19.37;32.63;1.163;2.215;1541.387;189.44;713.695;1.263;16.45;10.339;48.244;5.971;-4.296;715.788;52.731;140.36;-4.296;0.0;0.0;96.335;301.734;114.0;60004024.0
2018;Italy;102.567;;-8.344;;331.29;287.39;19.14;28.47;0.571;-1.061;1525.036;172.98;730.328;2.331;15.95;12.921;54.477;-3.304;-1.59;692.141;51.892;128.56;-1.59;;0.0;129.177;328.604;104.59;59877432.0
2019;Italy;77.534;;-24.406;;329.49;291.35;19.55;18.84;-1.839;-2.003;1494.493;175.52;709.052;-2.913;14.98;-8.66;49.76;2.278;-10.945;707.906;46.212;141.7;-10.945;;0.0;122.194;325.063;102.57;59727936.0
2005;Japan;1334.814;6.716;4.765;-16.805;1015.16;1015.16;18.39;267.29;0.345;0.682;5157.83;634.09;2995.735;-1.544;154.87;9.044;9.716;2.635;7.367;827.28;39.49;211.93;7.367;805.187;280.5;222.091;300.02;441.07;127798376.0
2006;Japan;1312.142;8.202;-1.699;22.118;1032.38;1032.38;18.38;262.56;-0.229;-1.391;5086.065;628.77;2888.42;-3.582;130.05;0.993;9.812;7.038;10.242;885.503;43.534;236.16;10.242;830.847;291.54;252.692;331.792;432.1;127902168.0
2007;Japan;1377.404;8.585;4.974;4.667;1073.51;1073.51;19.86;280.01;-1.071;0.869;5130.279;705.37;2798.975;-3.097;163.41;3.708;10.176;7.724;6.247;953.901;46.254;261.95;6.247;757.055;267.34;210.685;294.473;482.15;128006424.0
2008;Japan;1414.781;7.405;2.714;-13.741;1005.92;1005.92;17.17;266.92;-1.756;-0.572;5100.908;663.88;2695.132;-3.71;137.14;3.86;10.569;3.889;-0.46;990.995;46.041;259.82;-0.46;678.833;241.25;211.216;293.497;451.09;128077632.0
2009;Japan;1186.947;7.724;-16.104;4.31;977.19;977.19;16.89;257.31;-8.754;-11.246;4527.235;611.86;2415.507;-10.375;86.81;-7.604;9.765;-6.682;-3.704;924.78;44.335;267.74;-3.704;736.029;263.05;196.792;278.349;412.1;128117040.0
2010;Japan;1352.734;5.531;13.968;-28.396;1082.17;1082.17;20.47;293.24;6.604;5.821;4790.777;689.89;2438.675;0.959;94.86;-4.551;9.321;8.065;-7.89;999.367;40.837;301.79;-7.89;778.668;278.36;245.646;338.129;465.09;128105432.0
2011;Japan;1282.65;7.669;-5.181;38.659;1046.98;1046.98;20.06;267.62;-5.281;1.049;4841.036;777.1;2438.134;-0.022;152.9;-4.062;8.942;12.096;-0.109;1120.252;40.793;356.58;-0.109;431.3;153.38;227.552;323.242;510.05;128007256.0
2012;Japan;1354.199;7.968;5.578;3.896;1046.6;1046.6;21.06;314.75;-0.769;7.189;5189.08;920.39;2602.73;6.751;195.62;-3.594;8.621;9.989;-4.651;1232.151;38.895;410.02;-4.651;47.338;15.12;211.403;316.12;603.25;127853688.0
2013;Japan;1409.438;8.158;4.079;2.39;1029.79;1029.79;22.05;341.72;-0.729;-1.074;5133.329;897.88;2488.522;-4.388;156.91;-1.327;8.506;0.261;-8.665;1235.369;35.525;399.25;-8.665;38.191;10.43;216.212;340.565;593.55;127678920.0
2014;Japan;1385.735;8.862;-1.682;8.631;1028.71;1028.71;22.86;341.57;-2.53;-2.663;4996.624;892.18;2363.367;-5.029;117.52;-4.816;8.097;0.984;-6.669;1247.521;33.156;433.09;-6.669;0.0;0.0;221.357;376.032;583.07;127476728.0
2015;Japan;1397.981;7.936;0.884;-10.455;1004.81;1004.81;27.83;338.67;-1.417;-2.864;4853.515;844.23;2268.357;-4.02;101.16;-3.933;7.778;-4.837;-1.118;1187.176;32.785;404.4;-1.118;11.692;3.24;230.963;431.317;557.02;127250936.0
2016;Japan;1395.385;9.085;-0.186;14.486;1004.97;1004.97;24.34;331.98;-1.282;-1.9;4761.283;832.4;2201.723;-2.938;94.78;-20.318;6.198;-1.938;3.007;1164.174;33.77;405.64;3.007;45.414;14.87;212.626;421.931;547.37;126993856.0
2017;Japan;1415.963;9.411;1.475;3.588;1008.99;1008.99;27.95;326.62;1.219;-0.12;4755.587;806.12;2169.759;-1.452;70.92;0.0;;0.489;0.0;1169.865;;408.58;0.0;74.247;27.75;211.017;462.508;529.22;126662464.0
2018;Japan;1386.597;6.715;-2.074;-28.65;1012.06;1012.06;30.85;321.95;-0.533;-2.36;4643.376;780.61;2099.697;-3.229;61.87;0.0;;-1.093;0.0;1157.082;;396.79;0.0;124.672;47.82;214.586;496.084;514.53;126255872.0
2019;Japan;1362.594;4.893;-1.731;-27.131;992.26;992.26;33.39;319.04;-2.34;-3.566;4477.786;735.66;2033.96;-3.131;38.97;0.0;;-6.555;0.0;1081.233;;377.65;0.0;166.025;63.88;194.114;497.13;487.82;125791680.0
2005;Mexico;133.43;70.614;26.211;3.317;229.7;231.37;7.58;30.55;9.578;9.457;1886.799;178.76;1226.246;7.769;67.68;-1.869;2168.895;9.767;19.674;527.123;443.119;80.53;19.674;29.689;10.32;79.344;103.126;114.69;105442400.0
2006;Mexico;143.198;78.72;7.321;11.479;236.01;236.79;6.79;28.77;1.464;1.278;1910.914;182.76;1184.833;-3.377;48.8;-2.116;2123.0;10.578;9.344;582.883;484.522;105.19;9.344;29.67;10.4;86.633;108.593;111.94;106886792.0
2007;Mexico;131.584;84.943;-8.111;7.906;242.75;243.92;7.47;28.58;0.941;1.439;1938.41;191.83;1236.413;4.353;46.66;-5.65;2003.05;-2.139;-3.289;570.414;468.586;116.59;-3.289;28.275;9.95;77.306;101.773;116.0;108302976.0
2008;Mexico;117.545;80.504;-10.669;-5.226;245.99;247.09;7.09;19.16;4.112;2.837;1993.404;184.51;1275.893;3.193;47.48;-8.904;1824.703;5.181;0.794;599.966;472.306;117.87;0.794;26.437;9.36;110.221;133.683;109.65;109684496.0
2009;Mexico;119.746;70.741;1.873;-12.128;244.55;245.45;6.79;26.5;-1.685;-0.12;1991.019;194.75;1219.584;-4.413;43.9;-6.522;1705.704;8.621;11.333;651.688;525.831;124.35;11.333;28.142;10.11;74.627;98.068;115.97;111049424.0
2010;Mexico;148.119;85.135;23.694;20.348;263.46;264.41;7.02;30.54;0.3;-0.559;1979.88;207.38;1171.315;-3.958;41.27;-0.725;1693.334;1.344;-2.672;660.445;511.778;135.57;-2.672;15.659;5.66;103.135;128.041;123.17;112532400.0
2011;Mexico;171.327;108.967;15.669;27.993;279.54;280.24;6.91;31.7;4.54;4.428;2067.558;219.88;1188.146;1.437;45.82;-0.743;1680.75;7.213;1.8;708.085;520.99;142.36;1.8;26.708;9.66;100.058;125.715;130.65;114150480.0
2012;Mexico;149.266;86.335;-12.877;-20.77;285.81;284.75;6.36;32.2;0.895;1.543;2099.47;229.14;1213.666;2.148;52.42;-0.447;1673.237;4.018;-2.397;736.538;508.502;144.52;-2.397;23.074;8.41;87.497;117.308;136.47;115755912.0
2013;Mexico;148.227;83.299;-0.696;-3.516;287.25;287.28;6.91;29.96;0.063;0.087;2101.287;231.23;1175.11;-3.177;45.02;-1.238;1652.521;5.623;3.221;777.951;524.88;156.25;3.221;30.86;11.38;76.37;109.124;135.32;117290680.0
2014;Mexico;147.939;84.369;-0.194;1.285;289.66;290.19;6.64;31.41;-0.614;-2.064;2057.915;223.43;1121.492;-4.563;30.21;-3.341;1597.31;1.354;-2.264;788.484;512.998;161.81;-2.264;25.157;9.3;105.364;144.436;129.07;118755888.0
2015;Mexico;147.65;79.913;-0.195;-5.282;297.21;297.88;7.12;31.48;-1.101;-0.711;2043.285;234.28;1087.805;-3.004;29.11;-6.997;1485.55;2.453;-6.536;807.829;479.469;173.69;-6.536;29.917;11.18;83.19;129.777;134.13;120149896.0
2016;Mexico;144.633;70.601;-2.043;-11.652;303.28;303.02;7.02;31.78;2.263;2.41;2092.532;239.78;1117.598;2.739;30.92;-4.867;1413.242;2.782;-8.959;830.3;436.514;177.08;-8.959;27.146;10.27;82.178;133.164;137.26;121519224.0
2017;Mexico;176.753;85.622;22.208;21.275;309.49;309.14;7.51;28.54;1.908;1.677;2127.615;242.69;1090.527;-2.422;35.94;-9.82;1274.469;3.617;-12.332;860.335;382.684;178.21;-12.332;27.792;10.57;84.756;140.415;138.87;122839256.0
2018;Mexico;157.545;77.661;-10.867;-9.299;333.27;332.02;7.5;28.47;-1.313;-2.168;2081.49;259.92;1021.209;-6.356;35.0;-6.556;1190.915;4.928;-1.018;902.736;378.788;196.45;-1.018;34.414;13.32;85.948;149.786;147.18;124013864.0
2019;Mexico;150.415;64.017;-4.526;-17.569;318.9;318.08;6.65;29.15;-1.159;-1.207;2056.365;248.2;972.057;-4.813;31.04;-7.226;1104.854;3.451;-3.083;933.893;367.109;188.01;-3.083;28.304;10.88;62.23;154.77;140.67;125085312.0
2005;Russia;1099.903;1576.912;-5.324;-1.123;889.43;901.81;0.43;156.11;-0.136;-0.131;6597.732;590.64;1493.819;0.359;20.02;2.488;5522.15;1.209;1.184;4004.01;5894.742;414.51;1.184;410.636;137.64;494.257;495.534;351.04;143800048.0
2006;Russia;1128.363;1639.597;2.588;3.975;926.61;942.42;0.48;168.64;4.438;4.814;6915.315;623.48;1569.591;5.072;22.99;2.408;5655.137;5.328;2.597;4217.361;6047.812;431.85;2.597;427.139;144.65;493.066;494.482;372.01;143338672.0
2007;Russia;1092.244;1668.905;-3.201;1.787;948.12;960.92;0.45;160.07;0.528;0.387;6942.083;634.93;1561.667;-0.505;16.24;2.278;5783.959;1.679;-0.524;4288.172;6016.131;458.62;-0.524;434.296;147.99;500.616;501.956;373.5;143117680.0
2008;Russia;1171.354;1732.405;7.243;3.805;967.32;984.95;0.46;185.52;0.461;0.985;7010.48;667.2;1611.649;3.201;15.19;-0.619;5748.177;-1.415;1.636;4227.477;6114.53;466.49;1.636;439.759;152.06;463.041;464.386;397.24;143086544.0
2009;Russia;1071.749;1648.552;-8.503;-4.84;925.42;940.28;0.47;154.82;-4.958;-5.913;6595.961;612.39;1546.319;-4.054;15.11;1.438;5830.85;-5.904;-12.309;3977.893;5361.897;442.46;-12.309;438.381;152.78;486.488;487.848;360.48;143163648.0
2010;Russia;1053.018;1755.623;-1.748;6.495;965.89;983.34;0.51;156.67;3.887;4.566;6897.14;656.44;1604.92;3.79;8.78;2.185;5958.23;6.569;11.6;4239.202;5983.868;490.99;11.6;453.888;159.41;462.089;463.549;381.26;143242592.0
2011;Russia;1093.418;1832.62;3.837;4.386;976.87;999.42;0.52;155.01;3.405;3.978;7171.495;670.52;1721.716;7.277;25.81;1.395;6041.363;2.764;3.082;4356.361;6168.277;489.7;3.082;457.809;162.02;449.813;451.325;391.19;143364544.0
2012;Russia;1144.69;1957.161;4.689;6.796;998.25;1014.73;0.47;159.39;0.592;0.561;7211.754;681.59;1780.806;3.432;26.48;1.4;6125.936;-1.609;-2.427;4286.259;6018.549;495.72;-2.427;467.118;166.29;448.181;449.555;398.25;143629360.0
2013;Russia;1052.713;2013.351;-8.035;2.871;990.72;1004.4;0.45;152.73;-1.179;-1.738;7086.412;660.98;1785.025;0.237;8.21;1.042;6189.76;-0.877;2.1;4248.674;6144.962;500.04;2.1;451.16;161.38;493.712;495.035;382.42;143956864.0
2014;Russia;1018.227;2053.763;-3.276;2.007;1000.45;1008.5;0.52;149.38;0.311;0.414;7115.749;662.92;1875.539;5.071;10.1;0.976;6250.202;-0.628;-3.798;4221.982;5911.551;503.44;-3.798;469.904;169.07;469.743;471.897;382.64;144285072.0
2015;Russia;1071.356;2167.134;5.218;5.52;999.4;1011.06;0.45;149.57;-1.576;-2.042;6970.462;658.86;1812.358;-3.369;9.53;1.327;6333.144;-3.203;-1.136;4086.748;5844.396;499.76;-1.136;505.127;182.81;452.402;454.966;380.56;144668384.0
2016;Russia;1037.977;2255.871;-3.116;4.095;1019.63;1034.13;0.42;161.65;2.044;1.717;7090.127;663.99;1845.685;1.839;10.34;2.557;6495.112;2.929;0.827;4206.464;5892.753;492.0;0.827;505.078;184.05;494.213;497.423;387.65;145109152.0
2017;Russia;976.106;2393.454;-5.961;6.099;1026.54;1037.14;0.49;164.82;0.606;0.508;7126.127;660.38;1839.015;-0.361;6.58;0.012;6495.898;2.485;7.855;4311.006;6355.609;488.98;7.855;518.774;190.12;492.772;496.759;386.24;145452544.0
2018;Russia;1007.856;2562.787;3.253;7.075;1034.99;1047.59;0.48;167.77;3.686;4.028;7413.197;672.83;1860.349;1.16;7.55;1.672;6604.501;5.428;5.278;4544.993;6691.058;497.51;5.278;519.396;181.76;504.375;509.159;393.57;145652288.0
2019;Russia;990.76;2563.601;-1.696;0.032;1045.15;1063.58;0.49;177.59;-0.753;-1.113;7330.662;670.79;1896.775;1.958;8.07;0.969;6668.512;-2.241;1.483;4443.127;6790.269;485.13;1.483;528.623;195.54;512.37;518.885;396.19;145742288.0
2005;Saudi Arabia;0.325;0.0;98.528;;191.05;191.05;0.0;0.0;6.382;6.382;1811.106;191.05;1134.001;5.163;83.12;4.838;6008.386;8.465;8.465;676.78;676.78;107.93;8.465;;;;;111.07;24397652.0
2006;Saudi Arabia;0.231;0.0;-29.136;;196.31;196.31;0.0;0.0;4.918;4.918;1900.17;196.31;1202.06;6.002;91.76;-1.488;5918.979;3.118;3.118;697.88;697.88;104.55;3.118;;;;;115.46;25382870.0
